iter	Passed	Remaining
0	57	57350
1	57	28867
2	58	19330
3	58	14560
4	58	11697
5	59	9783
6	59	8417
7	59	7392
8	59	6593
9	60	5954
10	60	5432
11	60	4996
12	60	4627
13	61	4311
14	61	4038
15	61	3799
16	62	3587
17	62	3399
18	62	3231
19	62	3080
20	63	2943
21	63	2818
22	63	2704
23	63	2600
24	64	2504
25	64	2416
26	64	2334
27	65	2257
28	65	2186
29	65	2119
30	65	2058
31	66	2000
32	66	1945
33	66	1896
34	67	1848
35	67	1801
36	67	1758
37	67	1718
38	68	1679
39	68	1642
40	68	1606
41	68	1572
42	69	1540
43	69	1510
44	69	1481
45	70	1452
46	70	1425
47	70	1399
48	70	1374
49	71	1350
50	71	1327
51	71	1305
52	71	1283
53	72	1263
54	72	1244
55	72	1224
56	72	1206
57	73	1189
58	73	1172
59	73	1155
60	74	1139
61	74	1123
62	74	1108
63	74	1093
64	75	1079
65	75	1065
66	75	1052
67	75	1039
68	76	1026
69	76	1014
70	76	1002
71	76	990
72	77	979
73	77	967
74	77	957
75	77	946
76	78	936
77	78	926
78	78	917
79	78	907
80	79	898
81	79	888
82	79	878
83	79	869
84	80	861
85	80	853
86	80	845
87	80	837
88	81	830
89	81	823
90	81	816
91	81	808
92	82	802
93	82	795
94	82	788
95	83	781
96	83	775
97	83	768
98	83	762
99	84	756
100	84	750
101	84	744
102	84	738
103	85	733
104	85	727
105	85	724
106	86	719
107	86	713
108	86	708
109	86	703
110	87	698
111	87	693
112	87	688
113	88	683
114	88	679
115	88	675
116	88	669
117	88	665
118	89	660
119	89	656
120	89	651
121	89	646
122	90	642
123	90	638
124	90	634
125	90	630
126	91	625
127	91	621
128	91	618
129	91	614
130	92	610
131	92	607
132	92	603
133	92	600
134	93	596
135	93	593
136	93	590
137	93	586
138	94	583
139	94	579
140	94	576
141	94	572
142	95	570
143	95	566
144	95	563
145	95	560
146	96	558
147	96	555
148	96	552
149	96	549
150	97	546
151	97	544
152	97	541
153	98	538
154	98	535
155	98	533
156	98	530
157	99	528
158	99	525
159	99	523
160	99	519
161	99	517
162	100	514
163	100	512
164	100	510
165	101	507
166	101	505
167	101	502
168	101	500
169	102	498
170	102	495
171	102	493
172	102	491
173	103	489
174	103	487
175	103	485
176	103	482
177	104	480
178	104	478
179	104	476
180	104	474
181	105	472
182	105	470
183	105	468
184	105	466
185	106	464
186	106	462
187	106	460
188	106	459
189	107	457
190	107	455
191	107	453
192	108	451
193	108	449
194	108	448
195	108	446
196	109	444
197	109	442
198	109	441
199	109	439
200	110	438
201	110	436
202	110	434
203	110	433
204	111	431
205	111	429
206	111	428
207	111	426
208	112	425
209	112	423
210	112	422
211	113	420
212	113	419
213	113	417
214	114	416
215	114	414
216	114	413
217	114	411
218	114	410
219	115	408
220	115	407
221	115	405
222	115	404
223	116	402
224	116	401
225	116	399
226	116	398
227	117	396
228	117	395
229	117	394
230	117	392
231	118	391
232	118	389
233	118	388
234	118	387
235	119	385
236	119	384
237	119	383
238	120	382
239	120	380
240	120	379
241	120	378
242	120	376
243	121	375
244	121	374
245	121	373
246	121	371
247	122	370
248	122	369
249	122	368
250	123	367
251	123	365
252	123	364
253	123	363
254	124	362
255	124	361
256	124	360
257	124	359
258	125	357
259	125	356
260	125	355
261	125	354
262	126	353
263	126	352
264	126	350
265	126	349
266	127	348
267	127	347
268	127	346
269	127	345
270	127	344
271	128	343
272	128	342
273	128	341
274	128	340
275	129	338
276	129	337
277	129	336
278	129	335
279	130	334
280	130	333
281	130	332
282	130	331
283	131	330
284	131	329
285	131	328
286	131	327
287	132	326
288	132	325
289	132	324
290	132	323
291	133	322
292	133	321
293	133	320
294	133	319
295	133	318
296	134	317
297	134	316
298	134	315
299	134	314
300	135	314
301	135	313
302	135	312
303	135	311
304	136	310
305	136	309
306	136	308
307	136	307
308	137	306
309	137	305
310	137	304
311	137	304
312	138	303
313	138	302
314	138	301
315	138	300
316	139	299
317	139	298
318	139	297
319	139	297
320	140	296
321	140	295
322	140	294
323	140	293
324	141	293
325	141	292
326	141	291
327	141	290
328	142	289
329	142	289
330	142	288
331	142	287
332	143	286
333	143	286
334	143	285
335	144	284
336	144	283
337	144	283
338	144	282
339	145	281
340	145	280
341	145	280
342	145	279
343	146	278
344	146	277
345	146	277
346	146	276
347	147	275
348	147	275
349	147	274
350	147	273
351	148	272
352	148	272
353	148	271
354	148	270
355	149	270
356	149	269
357	149	268
358	149	267
359	150	267
360	150	266
361	150	265
362	151	265
363	151	264
364	151	263
365	151	262
366	152	262
367	152	261
368	152	260
369	152	260
370	153	259
371	153	258
372	153	258
373	153	257
374	154	256
375	154	256
376	154	255
377	154	254
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	250
384	156	250
385	156	249
386	157	248
387	157	248
388	157	247
389	157	247
390	158	246
391	158	245
392	158	245
393	159	244
394	159	243
395	159	243
396	159	242
397	160	242
398	160	241
399	160	240
400	160	240
401	161	239
402	161	239
403	161	238
404	161	237
405	162	237
406	162	236
407	162	236
408	162	235
409	163	234
410	163	234
411	163	233
412	163	233
413	164	232
414	164	231
415	164	231
416	164	230
417	165	230
418	165	229
419	165	228
420	166	228
421	166	227
422	166	227
423	166	226
424	167	225
425	167	225
426	167	224
427	167	224
428	168	223
429	168	223
430	168	222
431	168	221
432	169	221
433	169	220
434	169	220
435	169	219
436	170	219
437	170	218
438	170	218
439	170	217
440	171	216
441	171	216
442	171	215
443	171	215
444	172	214
445	172	214
446	172	213
447	172	213
448	173	212
449	173	212
450	173	211
451	174	210
452	174	210
453	174	209
454	174	209
455	175	208
456	175	208
457	175	207
458	175	207
459	176	206
460	176	206
461	176	205
462	177	205
463	177	204
464	177	204
465	177	203
466	178	203
467	178	202
